ean;descripcion;marca;n_sucursales;n_cadenas;precio_mediano;coicop_sugerido;rubro_sugerido;coicop_subclase
7790895000720;JUGO DE MANZANA;CEPIT;654;14;1250.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790580607210;TAB CHOCOLATE C/LECH;ARCOR;780;13;1515.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790895640025;BEBIDA ISOT MOUN BLA;POWERADE;767;13;2050.0;;;01.2.2
7790895000737;JUGO MULTIFRUTA;CEPITA;762;13;1250.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790387015324;YERBA MATE 4 FLEX;MAÑAN;756;13;2580.0;01.2.1;Café, té, yerba y cacao;
7790895641183;BEB ISOT FRUT.TROPIC;POWERADE;742;13;2050.0;;;01.2.2
7790895647017;JUGO MANZANA ROJA;CEPITA;736;13;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895000997;GASEO COLA;COCA COLA;719;13;5700.0;;;
7798062548655;AGUA S/GAS NARAN;LEVIT;564;13;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895640018;BEB ISOTONICA MANZAN;POWERADE;755;12;2050.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7791337007253;CHOCOLATADA;CINDOR;754;12;7345.0;01.2.1;Café, té, yerba y cacao;
7790895645778;AGUA S/GAS MINERALIZ;SMART WATER;741;12;2200.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7791337007260;CHOCOLATADA;CINDOR;741;12;2621.0;01.2.1;Café, té, yerba y cacao;
7798062548686;AGUA S/GAS POME;LEVITE;739;12;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798062548679;AGUA S/GAS POME;LEVITE;736;12;2750.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798062548709;AGUA S/GAS MANZ;LEVITE;736;12;2750.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798062548648;AGUA S/GAS NARAN;LEVITE;734;12;2750.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000080052760;CHOCOLATE BUENO;KINDER;720;12;3149.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790895647123;JUGO  MULTIFRUTA;CEPITA;720;12;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790387013627;YERBA MATE 4 FLEX;TARAGUI;719;12;2893.0;01.2.1;Café, té, yerba y cacao;
7791813434412;GASEOSA LIMON FREE;SEVEN;718;12;4000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7799155000203;AGUA PET CON GAS;VILLAVICENCIO;716;12;1870.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7799155000210;AGUA PET CON GAS;VILLAVICENCIO;715;12;2840.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000077949677;CHOCOLATE NATOONS;KINDER;713;12;3690.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7791813828365;GASEO PEPSI BLACK;PEPSI;708;12;2100.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895648267;JUGO SAB NARAN TENTA;CEPITA;707;12;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000077903785;ALFAJOR TRIPLE MOUSS;MILKA;706;12;2000.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790580716707;GALL SNACKS JAMON;SALAD;674;12;1722.99;01.1.2;Carnes y derivados;
7790580056001;CARAMELOS CONFITADOS;SUGUS;606;12;1990.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790580327415;CONFITES RELLENOS CHOCOLATE ROCKLETS X 40 GRS;ROCKLETS;528;12;2160.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;01.1.8
7790580607418;TABLETA DE CHOCOLATE BLANCO ARCOR X 25 GRS;ARCOR;513;12;1565.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790315100184;AGUA SABORIZADA CERO MANZ S G LEVITE X 500CC;LEVITE;348;12;2159.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7790895000232;GASEO COLA LATA;COCA COLA;760;11;2500.0;;;
7790895640483;AGUA S/GAS MANZ;AQUARIUS;739;11;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895007217;GASEO COLA;COCA COLA;738;11;4900.0;;;
7790895640490;AGUA S/GAS POME;AQUARIUS;735;11;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798062548716;AGUA S/GAS MANZ;LEVITE;728;11;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895001000;SPRITE 2,25L;SPRITE;721;11;5700.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895641237;AGUA S/GAS NARAN;AQUARIUS;721;11;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790895640476;AGUA S/GAS PERA;AQUARIUS;718;11;3000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7791813420385;GASEOSA POMELO;PASO DE LOS TOROS;715;11;1938.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7891010254773;TAMPONES MEDIO;O.B.;711;11;4130.0;;;
0000090435225;BEBIDA ENERGIZANTE;RED BULL;695;11;4639.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7791337009387;YOGUR BEB FRUTILLA;YOGURISIMO;693;11;3380.0;01.1.4;Leche, productos lácteos y huevos;
7798085681834;JUGO NARANJA C/PULPA;CITRIC;692;11;5419.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798422620014;MONSTER ENERGY;MONSTER;684;11;3300.0;;;01.2.2
7790895648427;JUGO DURAZNO DELICIO;CEPITA;678;11;3200.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7798422620021;ENERGIZANTE ULTRA X6;MONSTER;678;11;3300.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7798422620045;ENERGIZANTE MANGO LO;MONSTER;676;11;3300.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7798062540260;AGUA S/GAS PERA;LEVIT;671;11;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
7790580602000;GOMITAS ROLLO MOGUL X 12 GRS;MOGUL;667;11;899.0;;;
7795735000106;TALITAS TRADICIONALE;DONSA;666;11;2385.0;;;
7790895000270;GASEOSA LIMA LIMON;SPRIT;660;11;2500.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
0000077903860;ALFAJOR TERRABUSI TORTA X 70 GRS;TERRABUSI;589;11;2100.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790070418203;ALFAJOR ARROZ DULCE LECHE CHOCOARROZ X 22 GRS;CHOCOARROZ;583;11;1649.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7791813421382;GASEOSA C/GAS POMELO;P.TOR;541;11;3950.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7790580697303;GALL.SNACKS SAB.PIZZ;SALAD;524;11;1722.0;;;
7891000379028;TABLETA CHOCOLATE BLANCO KIT KAT X 41.5 GRS;KIT KAT;516;11;2631.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790895646027;AGUA MINERAL C GAS SMART WATER PET X 591 CC;SMART WATER;508;11;2000.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;
0000077956699;ALFAJOR CHOCOLATE TRIPLE TRI SHOT X 60 GRS;SHOT;501;11;2040.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077915481;ALFAJOR TRIPLE PEPITOS X 57 GRS;PEPITOS;500;11;2215.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077939234;ALFAJOR CHOCOLATE TERRABUSI X 50 GRS;TERRABUSI;498;11;1369.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
0000077903792;ALFAJOR CHOCOLATE TRIPLE TERRABUSI X 70 GRS;TERRABUSI;496;11;2059.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790040613706;ALFAJOR LECHE BON O BON X 40 GRS;BON O BON;490;11;1319.0;01.1.4;Leche, productos lácteos y huevos;01.1.4
7798085681452;JUGO DE NARANJA CLASICO CITRIC TETRA X 500 CC;CITRIC;462;11;3255.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
7797453001441;CHOCOLATE M&M CHOCOLATE MILK X 48 GR;M & M;258;11;4800.0;01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;
7790580200114;MOGUL TIBURON X 30 GRS;MOGUL;247;11;1120.0;;;
7790580103385;CHOC. COFLER BCO/LEC AIR X27G;COFLER;230;11;2800.0;;;01.1.8
7790895649301;JUGO CEPITA 20% NARANJA TETRA X 200ML;CEPITA;216;11;1680.0;01.2.2;Aguas minerales, bebidas gaseosas y jugos;01.2.2
